name,role_name,team_value,championships,value_rank,brand_value,sport_value,market_value,debt_to_value,operating_income,revenue,gate_receipts,revenue_per_fan,metro_area_pop,capacity,average_ticket_price,profile,gender,birthdate,mvp_index,reach_score,engagement_score,conversation_score,primary_role,role_name,status,delta_mvp_index,delta_reach_score,delta_engagement_score,delta_conversation_score,facebook_comment_rate,facebook_likes,facebook_post_like_rate,facebook_post_rate,facebook_share_rate,facebook_talking_about,google_plus_activities,google_plus_plus_ones,google_plus_replies,google_plus_shares,instagram_followers,instagram_following,instagram_photos,twitter_followers,twitter_following,twitter_mentions,twitter_mention_rate,twitter_retweet_rate,twitter_tweets,you_tube_interactions,you_tube_subscribers,you_tube_videos,you_tube_views
Houston Rockets,Basketball (Men - NBA),,,,,,,,,,,,,,,,null,null,0.614216564,7.120939591,5.163391687,3.829983973,73,Basketball (Men - NBA),active,0.002241761,0.000286564,0.044548653,0,3389,3570136,773847,167,31473,91386,null,4758,690,329,1161513,131,3721,933537,431,null,6574,38792,29642,null,null,null,null
Detroit Pistons,Basketball (Men - NBA),,,,,,,,,,,,,,,,null,null,0.606583264,6.355448323,5.776216949,6.75669667,73,Basketball (Men - NBA),active,0.000423013,0.00074244,0.007717825,0,3351,1646660,186477,307,18034,51601,null,5459,599,377,410934,128,3352,499468,17887,null,4500,21395,47939,54788,21077,1991,23488912
Minnesota Timberwolves,Basketball (Men - NBA),,,,,,,,,,,,,,,,null,null,0.559794048,6.076242475,5.119638494,6.497027566,73,Basketball (Men - NBA),active,-0.000270153,0.000560241,-0.005963305,0,1982,1660220,208089,148,7354,34148,null,22975,1350,1159,439769,64,2638,null,null,null,null,null,null,51693,16538,1324,21552658
Phoenix Suns,Basketball (Men - NBA),,,,,,,,,,,,,,,,null,null,0.548317043,6.006486625,4.95985423,6.577041996,73,Basketball (Men - NBA),active,-0.001363813,0.000376837,-0.027653102,0,1627,1857149,72133,113,4931,28219,null,7284,1773,515,433910,262,5139,500177,17299,null,4668,14337,55399,19138,12741,740,6315933
Indiana Pacers,Basketball (Men - NBA),,,,,,,,,,,,,,,,null,null,0.5411068,5.266551073,5.555584927,9.132049808,73,Basketball (Men - NBA),active,-0.000494009,0.00116935,-0.011049522,0,2821,3209627,400472,158,17370,54101,null,46624,6460,2853,357713,102,3251,688394,2485,null,4836,17705,36662,null,null,null,null
Philadelphia 76ers,Basketball (Men - NBA),,,,,,,,,,,,,,,,null,null,0.536734595,5.562735072,5.171956825,6.570116508,73,Basketball (Men - NBA),active,0.000313264,0.000540028,0.005725255,-0.081151815,2926,1397760,164297.5,265,8878.5,28072,null,31254,4406,2278,424247,146,3103,598615,654,null,6348,12485,35698,5793,4868,212,1200272
Orlando Magic,Basketball (Men - NBA),,,,,,,,,,,,,,,,null,null,0.536655598,6.551082696,4.182029266,6.55835547,73,Basketball (Men - NBA),active,0.000592753,0.000339275,0.011515784,0,3744,2719385,285646,237,19785,42680,null,10031,1130,567,409367,119,3122,1324123,891,null,4474,12566,30833,null,null,null,null
Milwaukee Bucks,Basketball (Men - NBA),,,,,,,,,,,,,,,,null,null,0.52214458,5.121992045,5.32089956,5.72108531,73,Basketball (Men - NBA),active,-0.004658458,0.00064549,-0.093814657,0,5112,1274823,525537,346,27414,45393,null,5562,630,306,500790,90,5850,443272,5388,null,6575,20497,78945,null,null,null,null
Brooklyn Nets,Basketball (Men - NBA),,,,,,,,,,,,,,,,null,null,0.511255821,5.908478809,4.316637616,6.840320365,73,Basketball (Men - NBA),active,-0.000842452,0.000356557,-0.017205589,0,1416,2703891,76674,133,3512,25357,null,10969,2310,729,488278,89,3384,635551,8578,null,3315,10871,63317,null,null,null,null
Atlanta Hawks,Basketball (Men - NBA),,,,,,,,,,,,,,,,null,null,0.511022267,5.256203644,4.964241694,6.468018239,73,Basketball (Men - NBA),active,-0.00031076,0.000573071,-0.006788271,0,1958,1522973,171587,143,11880,32215,null,13713,2397,906,474204,46,3026,493678,15285,null,8036,18947,50884,null,null,null,null
Utah Jazz,Basketball (Men - NBA),,,,,,,,,,,,,,,,null,null,0.505984945,5.21645354,4.90324537,7.061230815,73,Basketball (Men - NBA),active,0.001566533,0.0011716,0.030159066,0,null,null,null,null,null,null,null,10467,1482,518,324901,100,2594,439052,336,null,2638,14228,34343,34687,7922,351,8863164
Memphis Grizzlies,Basketball (Men - NBA),,,,,,,,,,,,,,,,null,null,0.505652635,5.233621016,4.879431687,6.402024646,73,Basketball (Men - NBA),active,-0.000294843,0.001030893,-0.006927755,0,2719,1749017,154815,292,12426,23247,null,37843,3242,1354,375710,344,3102,527240,4596,null,5368,11672,30803,343,652,28,38033
Charlotte Hornets,Basketball (Men - NBA),,,,,,,,,,,,,,,,null,null,0.500599998,5.410931846,4.601068108,7.608479454,73,Basketball (Men - NBA),active,-0.00261801,0.000822543,-0.053182737,0,3818,1637120,357115,273,22274,76672,null,3543,420,203,527835,198,3015,492361,996,null,8230,18518,28046,0,0,0,0
New Orleans Pelicans,Basketball (Men - NBA),,,,,,,,,,,,,,,,null,null,0.424756344,5.360549927,3.134576953,6.509416732,73,Basketball (Men - NBA),active,-5.41E-05,0.001130951,-0.002212639,0,1608,1559348,128205,248,3327,21726,null,3392,298,211,480539,52,1662,440067,113,null,2097,7071,33868,4717,2603,224,1406246
Denver Nuggets,Basketball (Men - NBA),,,,,,,,,,,,,,,,null,null,0.422585761,5.466163426,2.985551801,6.711883035,73,Basketball (Men - NBA),active,-0.001003866,-1.63E-05,-0.020061014,0,2104,1914275,119923,124,5593,26103,null,6841,1108,513,359146,22,1519,null,null,null,null,null,null,5887,7641,771,3379011
Washington Wizards,Basketball (Men - NBA),,,,,,,,,,,,,,,,null,null,0.410493744,3.805134534,4.404740345,6.497027566,73,Basketball (Men - NBA),active,-0.000735192,0.001943829,-0.016647678,0,3629.5,1347256,283618,433,11760.5,49369,null,1946,182,175,3565,676,28,478615,698,null,6027,22249,35299,null,null,null,null
Chicago Sky,Basketball (Women - WNBA),,,,,,,,,,,,,,,,null,null,0.821634712,8.187645448,8.2450488,6.783518661,95,Basketball (Women - WNBA),active,0.001373589,-0.001597179,0.029068958,0,406,63638,21082,72,1398,2411,null,6,0,0,27392,480,2922,24654,4552,null,138,3179,17063,1648,1465,375,496815
Minnesota Lynx,Basketball (Women - WNBA),,,,,,,,,,,,,,,,null,null,0.816939303,8.565674604,7.773111455,7.922550878,95,Basketball (Women - WNBA),active,0.005920091,-0.001653051,0.120054879,0,254,123219,11747,27,684,3355,null,3784,322,223,24130,35,1045,36512,318,null,177,2573,19865,612,654,91,142759
Phoenix Mercury,Basketball (Women - WNBA),,,,,,,,,,,,,,,,null,null,0.77590174,8.416162652,7.101872141,6.616172145,95,Basketball (Women - WNBA),active,0.002821338,-0.001629583,0.058056347,0,208,108798,8352,19,713,1571,null,57,4,0,23480,24,926,26018,1348,null,71,2079,12053,3297,2387,245,928147
New York Liberty,Basketball (Women - WNBA),,,,,,,,,,,,,,,,null,null,0.764667373,7.769480368,7.523867097,7.397159799,95,Basketball (Women - WNBA),active,0.005438469,-0.001906177,0.110675551,0,null,null,null,null,null,null,null,null,null,null,15485,85,1178,20396,432,null,400,2973,14584,null,null,null,null
Seattle Storm,Basketball (Women - WNBA),,,,,,,,,,,,,,,,null,null,0.760847351,7.704063237,7.512883779,6.594340225,95,Basketball (Women - WNBA),active,0.006739141,-0.00298803,0.13777084,0,200,64249,10006,28,808,4381,null,61,1,3,12951,102,1325,23948,1358,null,173,1935,15580,1149,945,221,294032
Indiana Fever,Basketball (Women - WNBA),,,,,,,,,,,,,,,,null,null,0.745591898,7.682913738,7.228924227,6.442155791,95,Basketball (Women - WNBA),active,-0.006712327,-0.002919245,-0.131327299,0,125,58200,5530,24,607,2196,null,637,39,35,15354,83,1742,22784,1351,null,146,2752,13817,180,0,242,115011
Atlanta Dream,Basketball (Women - WNBA),,,,,,,,,,,,,,,,null,null,0.739915173,8.039620971,6.758682494,6.234510486,95,Basketball (Women - WNBA),active,0.002489759,-0.002547156,0.052342334,0,114,76201,3876,51,415,828,null,1,0,0,18778,372,1891,24892,2040,null,86,1266,16670,1100,764,102,643469
Los Angeles Sparks,Basketball (Women - WNBA),,,,,,,,,,,,,,,,null,null,0.720455101,8.28084975,6.128252278,6.509416732,95,Basketball (Women - WNBA),active,0.003981175,-0.002188809,0.081812312,0,144,95388,3650,31,467,731,null,10,1,0,15272,179,789,41282,644,null,103,1034,9666,1798,101,25,261710
San Antonio Stars,Basketball (Women - WNBA),,,,,,,,,,,,,,,,null,null,0.60422265,7.561772735,4.522680274,6.711883035,95,Basketball (Women - WNBA),active,0.004177085,-0.001201628,0.084743324,0,15,90603,681,9,60,755,null,0,0,0,6284,45,427,15984,387,null,45,799,7066,441,413,293,325308
Washington Mystics,Basketball (Women - WNBA),,,,,,,,,,,,,,,,null,null,0.566911806,5.836077588,5.50215854,6.686174613,95,Basketball (Women - WNBA),active,0.005378668,-0.003976809,0.111550176,0,47,24425,1293,16,146,366,null,64,7,8,4805,47,849,13171,488,null,107,1228,9150,129,90,37,26519
Connecticut Sun,Basketball (Women - WNBA),,,,,,,,,,,,,,,,null,null,0.487844017,4.454566167,5.302314175,6.617983019,95,Basketball (Women - WNBA),active,0.000247236,-0.007073707,0.012018431,0,102,17870,1402,23,107,412,null,0,0,0,null,null,null,10587,143,null,41,1415,8133,420,348,210,195831
Dallas Wings,Basketball (Women - WNBA),,,,,,,,,,,,,,,,null,1/1/16,0.451001014,4.838940239,4.181080036,7.904896833,95,Basketball (Women - WNBA),active,-0.000823923,-0.0018959,-0.014582559,0,95,37986,2307,27,276,400,null,64,1,4,2,1,1,2638,377,null,185,155,188,17,16,2,338
