name,role_name,team_value,championships,value_rank,brand_value,sport_value,market_value,debt_to_value,operating_income,revenue,gate_receipts,revenue_per_fan,metro_area_pop,capacity,average_ticket_price,profile,gender,birthdate,mvp_index,reach_score,engagement_score,conversation_score,primary_role,role_name,status,delta_mvp_index,delta_reach_score,delta_engagement_score,delta_conversation_score,facebook_comment_rate,facebook_likes,facebook_post_like_rate,facebook_post_rate,facebook_share_rate,facebook_talking_about,google_plus_activities,google_plus_plus_ones,google_plus_replies,google_plus_shares,instagram_followers,instagram_following,instagram_photos,twitter_followers,twitter_following,twitter_mentions,twitter_mention_rate,twitter_retweet_rate,twitter_tweets,you_tube_interactions,you_tube_subscribers,you_tube_videos,you_tube_views
FC Red Bull Salzburg,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.35174199,2.974875589,4.059964208,6.289543521,80,Soccer (Men - Club - All),active,-0.001226529,-0.014770289,-0.009760289,0,625,344472,27812,127,545,2863,null,33157,1531,571,17884,119,1241,21328,224,null,43,847,14646,3069,4046,479,1031963
Udinese Calcio,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.345820611,4.097405692,2.819006531,6.403378221,80,Soccer (Men - Club - All),active,-0.009622107,-0.014161605,-0.178280539,0,2109,369107,69557,167,1716,16064,null,1622,143,31,45734,55,1179,198528,101,null,111,1767,26458,0,4924,1625,1326196
FC Krasnodar,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.345734966,4.015473385,2.899225932,6.826179333,80,Soccer (Men - Club - All),active,-0.001040195,-0.027533824,0.006729928,0,209,40396,6938,121,303,785,null,4286,286,167,null,null,null,null,null,null,null,null,null,6133,12343,2981,5644761
Levante UD,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.344611461,4.203126443,2.689102773,5.942836016,80,Soccer (Men - Club - All),active,-0.00133136,-0.020651268,-0.005975938,0,558,188169,13678,87,1615,4281,null,9,3,4,19270,15,1056,219497,135,null,210,111,41248,6614,7916,1679,3809814
Bologna F.C. 1909,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.339722993,3.174301141,3.620158722,6.513567306,80,Soccer (Men - Club - All),active,-0.000325853,-0.018900211,0.012383148,0,2546,193349,86837,259,8000,15006,null,19,2,15,null,null,null,86929,74,null,110,18,4679,4713,5236,1281,3120118
Slask Wroclaw,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.334242406,3.679610365,3.005237755,7.375475519,80,Soccer (Men - Club - All),active,0.001126728,-0.022278612,0.044813182,0,2750,236261,50822,261,1929,4157,null,493,32,11,null,null,null,11577,68,null,23,10,7588,4108,7253,1744,6301231
S.C. Braga,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.333012547,2.403720401,4.256530534,6.497027566,80,Soccer (Men - Club - All),active,-0.0003809,-0.011431535,0.003813526,0,3769,222969,179905,223,17155,12900,null,134,6,6,null,null,null,80224,22,null,177,59,5668,2366,2002,555,1116549
AFC Bournemouth,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.331640912,2.933054198,3.699764038,6.490361802,80,Soccer (Men - Club - All),active,-0.009552432,-0.003764426,-0.187284213,0,1901,257102,62899,195,4154,8996,null,1251,147,92,63861,89,1090,148513,587,null,4172,3780,38159,0,0,0,0
Stade Rennais F.C.,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.331352488,2.973700625,3.65334913,6.497027566,80,Soccer (Men - Club - All),active,-0.000773461,-0.00776342,-0.007705799,0,2845,381392,122665,192,8542,9933,null,2855,946,157,null,null,null,183683,343,null,507,112,17872,null,null,null,null
Atalanta B.C.,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.330591912,3.180099735,3.431738507,6.497027566,80,Soccer (Men - Club - All),active,-0.002400598,-0.014871955,-0.033139996,0,1367,146085,24795,159,1132,3733,null,15710,1058,286,33830,49,1042,175776,42,null,102,85,13434,2164,3786,1053,1017606
Red Star Belgrade,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.326587899,3.448653062,3.083104917,0,80,Soccer (Men - Club - All),active,0.000624169,-0.008216747,0.020700126,0,1321,752020,193907,101,8839,23877,null,null,null,null,null,null,null,47450,1153,null,109,129,10088,null,null,null,null
1. FSV Mainz 05,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.325927512,2.924420044,3.594130186,7.360322345,80,Soccer (Men - Club - All),active,-0.005705423,-0.006669339,-0.107439122,0,1981,421788,142029,118,11842,3308,null,6283,970,235,23330,23,736,107819,26,null,224,40,6711,null,null,null,null
Bursaspor,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.325474681,3.88482505,2.624668578,6.509416732,80,Soccer (Men - Club - All),active,-0.004374651,-0.008184655,-0.079308366,0,1983,586361,140134,187,3536,17618,null,null,null,null,37706,null,979,202974,6,null,16,98,9684,null,null,null,null
SC Heerenveen,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.325410091,4.355638483,2.152563333,7.139965397,80,Soccer (Men - Club - All),active,-0.005745017,-0.024995881,-0.08990445,0,720,66542,28624,55,1659,3423,null,0,0,0,5474,20,185,45101,55,null,24,32,28086,3936,9277,1777,12304351
Watford F.C.,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.323723618,3.11439406,3.360078308,6.505276556,80,Soccer (Men - Club - All),active,-0.000423903,-0.003588648,-0.004889411,0,1169,280789,34633,69,3123,6756,null,null,null,null,70509,60,1006,159982,979,null,5073,6258,24323,null,null,null,null
AIK Fotboll,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.319576994,3.346191355,3.045348533,8.247585498,80,Soccer (Men - Club - All),active,-0.000330777,-0.016833617,0.010218074,0,1561,213885,130279,122,7629,18653,null,91,47,3,69096,624,2457,29207,54,null,33,55,11687,0,5564,541,1813733
Columbus Crew SC,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.307949575,2.983757572,3.175233933,8.827602866,80,Soccer (Men - Club - All),active,0.000483738,-0.013084513,0.022759268,0,1172,168287,31031,195,3294,7421,null,null,null,null,46346,209,3090,99795,1258,null,2320,2762,44701,1651,3777,1275,979918
Chicago Fire SC,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.304779426,3.175393867,2.920194649,8.112225998,80,Soccer (Men - Club - All),active,-0.001802666,-0.01561481,-0.020438501,0,675,253231,16482,87,1576,3228,null,1150,58,85,23529,135,921,87557,1456,null,2372,4393,29340,2402,4517,1519,1397872
BríŸndby IF,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.300957979,3.778767848,2.24039174,6.986395044,80,Soccer (Men - Club - All),active,-0.00365862,-0.021911102,-0.051261306,0,522,142087,18131,25,650,3113,null,1065,40,22,35974,56,2123,19810,35,null,59,51,9409,5326,8724,930,5516296
FC Dynamo Kyiv,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.300176204,2.246200093,3.757323988,6.442148499,80,Soccer (Men - Club - All),active,0.000444,-0.010676544,0.019556541,0,null,null,null,null,null,null,null,5,4,0,30843,69,3013,null,null,null,null,null,null,304,2568,398,111000
Colorado Rapids,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.298740421,2.009476602,3.965331809,6.403378221,80,Soccer (Men - Club - All),active,-0.010567876,-0.008163173,-0.203194345,0,2253,143782,81761,158,5292,19205,null,4405,309,195,23327,109,992,53658,566,null,1244,5496,27762,1055,1877,411,404157
Rosenborg BK,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.298355785,2.775535494,3.191580203,6.669793063,80,Soccer (Men - Club - All),active,-0.00305361,-0.013734762,-0.047337433,0,1345,211253,66994,76,2046,2814,null,1265,58,33,34809,2484,345,32948,6230,null,41,8,15176,5916,3021,723,2152648
Toulouse FC,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.296941179,3.613981179,2.324842408,6.501146821,80,Soccer (Men - Club - All),active,0.000237104,-0.009043217,0.013785294,0,1138,288918,30677,75,1355,6533,null,2729,624,183,20129,58,847,355729,3245,null,106,19,36086,null,null,null,null
Pogon Szczecin,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.295555849,3.305067009,2.606049976,6.446283705,80,Soccer (Men - Club - All),active,-0.007427533,-0.020844769,-0.127705885,0,1658,151375,51136,139,2295,11257,null,93,26,1,9079,28,517,9325,112,null,5,11,8610,3245,5923,1576,6060050
Hellas Verona F.C.,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.288346898,3.924082488,1.842855471,6.513567306,80,Soccer (Men - Club - All),active,-0.002664996,-0.017609112,-0.035690812,0,581,255652,13840,54,577,3472,null,2400,141,69,null,null,null,186656,64,null,97,15,11668,2425,6386,1617,3408651
TSG 1899 Hoffenheim,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.288232558,3.153234701,2.611416457,6.497027566,80,Soccer (Men - Club - All),active,-0.005741379,-0.016171636,-0.09865594,0,2050,221627,59643,194,1376,2543,null,0,0,0,null,null,null,93852,42,null,35,38,9006,4865,5349,562,1419431
Philadelphia Union,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.287250439,2.519832064,3.225176724,7.633718202,80,Soccer (Men - Club - All),active,-0.004268801,-0.012409994,-0.072966024,0,954,161608,29847,112,2277,3438,null,1815,186,95,30051,77,1398,78297,6966,null,2700,4969,37346,2146,2887,318,677720
Palermo FC,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.287010943,3.004792505,2.735426353,6.950681813,80,Soccer (Men - Club - All),active,0.004482253,-0.009011727,0.098656787,0,1534,297101,33689,100,4112,11541,null,null,null,null,33775,18,681,86167,20,null,197,36,9955,3766,0,1268,3051552
FC Dnipro Dnipropetrovsk,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.284837557,4.184695578,1.512055557,6.97363976,80,Soccer (Men - Club - All),active,-0.002527604,-0.027819645,-0.022732433,0,293,135981,9460,44,675,1372,null,null,null,null,12218,30,1221,null,null,null,null,null,null,3999,14073,797,5526381
A.C. Chievo Verona,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.280373067,3.173375007,2.434086327,5.919623407,80,Soccer (Men - Club - All),active,-0.004290608,-0.018389352,-0.067422815,0,975,99826,21527,183,1387,3650,null,2958,492,161,16848,48,1154,154659,387,null,76,24,13413,2291,5345,958,1960578
FC Metalist Kharkiv,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.277736697,2.735519895,2.819214049,9.210805019,80,Soccer (Men - Club - All),active,0.000452277,-0.022838524,0.031884065,0,305,67041,6918,93,1061,1463,null,9774,557,547,6207,56,1150,null,null,null,null,null,null,1959,7260,1536,3068348
Celta de Vigo,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.274034432,3.062120346,2.418568291,6.692020456,80,Soccer (Men - Club - All),active,-0.004295539,-0.008398645,-0.077512127,0,1402,363204,69783,109,5564,11522,null,null,null,null,null,null,null,214062,45,null,657,124,19444,null,null,null,null
Real Valladolid,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.273183081,2.551145172,2.912516438,7.059607929,80,Soccer (Men - Club - All),active,0.000532914,-0.011785644,0.022443924,0,770,199901,12217,116,1291,2602,null,7061,982,408,null,null,null,134919,95,null,52,154,22423,1759,1801,37,907340
PFC Levski Sofia,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.272764375,2.098618327,3.356669171,6.68297521,80,Soccer (Men - Club - All),active,-0.002012292,-0.00574746,-0.034498383,0,2465,414864,163738,136,10163,24656,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Parma F.C.,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.266417961,3.472664063,1.85569516,8.997580905,80,Soccer (Men - Club - All),active,-0.000857032,-0.017599063,0.00045843,0,null,214340,null,null,null,205,null,0,0,0,null,null,null,null,null,null,null,null,null,3519,4740,936,2678881
Club Brugge KV,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.265617032,1.844441325,3.467899313,6.534474629,80,Soccer (Men - Club - All),active,-0.016128058,-0.005727675,-0.31683348,0,3220,259749,134039,272,10224,15904,null,null,null,null,null,null,null,61689,1795,null,204,71,13472,null,null,null,null
Genoa C.F.C.,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.262131048,2.549280134,2.693340821,6.373216178,80,Soccer (Men - Club - All),active,-0.002440102,-0.007960995,-0.040841038,0,1809,231886,90672,178,8429,9312,null,null,null,null,null,null,null,198314,52,null,184,40,18193,null,null,null,null
OGC Nice,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.260826526,2.748458379,2.468072132,6.497027566,80,Soccer (Men - Club - All),active,-0.012446132,-0.006077405,-0.242845228,0,1539,231884,62698,86,5829,9714,null,1151,234,81,30212,57,791,184966,224,null,85,41,14845,0,0,0,0
CA Osasuna,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.258362791,2.780383155,2.386872656,9.132049808,80,Soccer (Men - Club - All),active,0.000829934,-0.013393424,0.0299921,0,474,201646,17271,139,1289,3939,null,6643,481,172,13210,26,192,131103,219,null,23,129,37360,0,2982,846,556707
Maccabi Haifa F.C.,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.258208447,2.189527565,2.974641366,7.977472403,80,Soccer (Men - Club - All),active,0.000164464,-0.018718321,0.022007603,0,1810,117734,70665,95,808,6389,null,12926,1237,312,null,null,null,null,null,null,null,null,null,0,5329,654,1425303
FC Nantes,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.256799936,3.220018777,1.915979946,6.423845001,80,Soccer (Men - Club - All),active,-0.009998846,-0.008432656,-0.191544269,0,1346,333423,79412,61,4572,6965,null,null,null,null,null,null,null,267781,241,null,94,79,6115,null,null,null,null
FC Viktoria Plzen,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.254440847,3.034019386,2.05479756,7.364713012,80,Soccer (Men - Club - All),active,-0.001683098,-0.027866595,-0.005795356,0,null,null,null,null,null,null,null,97,10,13,11019,5,1424,11524,85,null,4,43,5428,8473,10993,425,2494261
FK Sarajevo,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.251629872,2.301544389,2.731053055,9.201761519,80,Soccer (Men - Club - All),active,-0.007496636,-0.014497699,-0.135435012,0,2238,176412,95734,193,1562,8952,null,278,5,12,13018,8,546,4975,12,null,6,17,3987,3239,3590,459,1652092
Jagiellonia Bialystok,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.25125788,2.597643279,2.427514326,6.678464179,80,Soccer (Men - Club - All),active,-0.005038153,-0.019785875,-0.080977189,0,1637,96841,41466,272,1206,6030,null,null,null,null,7136,22,617,7477,219,null,9,99,13723,3563,5439,997,3348151
KS Cracovia,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.245202144,2.054100636,2.849942251,7.390859649,80,Soccer (Men - Club - All),active,0.000864803,-0.016113851,0.033409915,0,1532,98077,76972,161,3832,12541,null,115,5,0,null,null,null,8827,106,null,12,12,7227,2899,3548,1496,2525402
IFK Gí_teborg,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.243458935,2.846824345,2.022354347,7.577732819,80,Soccer (Men - Club - All),active,-0.001092603,-0.016339151,-0.005512904,0,597,147253,29846,84,1648,7862,null,69,6,4,43143,3,2147,26046,20,null,27,18,4618,3622,4520,909,2255530
SK Slavia Prague,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.243107862,1.948237479,2.913919752,6.678419213,80,Soccer (Men - Club - All),active,-0.012757106,-0.017253908,-0.237888208,0,1634,65549,38618,147,2286,4614,null,3716,432,92,null,null,null,7322,105,null,23,42,10126,4046,4440,697,1893542
FC Utrecht,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.242492349,1.821726379,3.028120604,6.741563909,80,Soccer (Men - Club - All),active,-0.000833982,-0.012310219,-0.004369416,0,1733,53407,66183,106,12145,11783,null,6,1,1,16174,159,2051,32077,49,null,61,190,14695,0,2358,721,1863548
Elche CF,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.233551505,2.785122156,1.885907946,7.664928214,80,Soccer (Men - Club - All),active,-0.000472329,-0.012084899,0.002638318,0,822,234158,18064,184,1568,4013,null,121,3,5,15210,45,330,128567,111,null,28,100,32437,1551,2325,821,517608
Rayo Vallecano,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.229043819,3.399694963,1.181181425,6.619901108,80,Soccer (Men - Club - All),active,-0.001197421,-0.02038982,-0.003558604,0,null,null,null,null,null,null,null,15,4,1,null,null,null,284026,79,null,233,36,19360,2859,6243,1336,1612458
Qarabag FK,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.22903774,2.264800805,2.315954,7.710389761,80,Soccer (Men - Club - All),active,-0.001360095,-0.017191742,-0.01001015,0,1170,117735,55434,78,1094,2007,null,649,24,2,18352,4,937,1631,3,null,4,119,3030,5605,5111,137,1065856
FK Austria Wien,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.227045805,2.249303195,2.291612906,7.615370237,80,Soccer (Men - Club - All),active,0.000487888,-0.016317219,0.026074971,0,1277,131101,41792,90,1770,4935,null,1659,160,42,9810,158,818,11646,310,null,26,63,17090,2659,4168,523,1709538
Vitesse,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.225979159,2.540407151,1.979176038,6.770050666,80,Soccer (Men - Club - All),active,-0.003864905,-0.018043661,-0.059254442,0,975,83157,15523,68,637,1552,null,0,0,0,null,null,null,40005,194,null,83,523,21112,4045,5416,898,2705790
U.S. Sassuolo Calcio,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.225908117,2.68223287,1.835929469,6.438163388,80,Soccer (Men - Club - All),active,0.000236072,-0.007621029,0.012342473,0,884,201583,36490,76,1880,6322,null,158,0,5,38354,18,810,136955,20,null,125,71,6479,2053,0,752,1235512
UD Almerí_a,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.225835745,3.00912557,1.507589339,6.422725977,80,Soccer (Men - Club - All),active,-0.002132366,-0.007599492,-0.035047823,0,989,487591,24286,141,1619,8897,null,null,null,null,null,null,null,121812,108,null,36,143,20318,null,null,null,null
Aberdeen F.C.,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.220779118,1.8647438,2.55083856,6.519656853,80,Soccer (Men - Club - All),active,-0.000254567,-0.011890318,0.006798987,0,1142,83986,48230,74,3044,6640,null,8,1,1,17114,47,588,52450,478,null,1578,6825,16568,0,2937,113,283564
SC Bastia,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.220661547,2.958977651,1.454253292,8.661022451,80,Soccer (Men - Club - All),active,-0.000134702,-0.008115342,0.0054213,0,1046,274511,31307,183,2382,4578,null,null,null,null,16248,21,394,null,null,null,null,null,null,null,null,null,null
Chivas USA,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.212543262,3.702802138,0.548063099,6.163469418,80,Soccer (Men - Club - All),active,-9.89E-05,-0.00815731,0.006178818,0,null,null,null,null,null,null,null,1133,61,43,null,null,null,null,null,null,null,null,null,9,0,0,281
Wisla Krakí_w,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.212282694,1.814383187,2.431270693,6.526220924,80,Soccer (Men - Club - All),active,-0.000367908,-0.004719971,-0.00263819,0,2640,291374,112252,218,3328,6311,null,null,null,null,14654,34,839,11711,48,null,35,26,4802,null,null,null,null
Montpellier HSC,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.20985736,2.686621077,1.510526114,6.725148394,80,Soccer (Men - Club - All),active,-0.000920621,-0.00746441,-0.010948015,0,1072,257634,31097,160,1503,6771,null,null,null,null,null,null,null,207286,422,null,65,41,21216,null,null,null,null
FC Lorient,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.199222384,2.398737977,1.585709698,6.608288418,80,Soccer (Men - Club - All),active,-0.0027697,-0.006247029,-0.049146973,0,1198,216059,34814,80,2250,4616,null,null,null,null,13706,67,1376,158352,287,null,79,192,17694,null,null,null,null
APOEL FC,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.196616436,2.486869286,1.445459427,6.75669667,80,Soccer (Men - Club - All),active,-0.000781235,-0.017402126,0.001777421,0,668,117125,50773,125,1511,4827,null,111,2,3,14220,58,2281,16976,47,null,21,177,14959,0,4524,587,2526146
FC Rostov,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.193708766,2.635375341,1.238799969,7.666394059,80,Soccer (Men - Club - All),active,-0.001079238,-0.018532307,-0.003052445,0,47,1032,661,48,54,209,null,10,0,0,15126,55,1214,123708,52,null,20,13,12772,3457,4789,717,2131810
Djurgí«rdens IF Fotboll,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.192771936,1.394497829,2.460940887,6.719335023,80,Soccer (Men - Club - All),active,0.001425288,-0.003358224,0.031863982,0,1421,124168,120150,110,5764,12280,null,null,null,null,38880,93,2053,18903,233,null,37,47,10639,null,null,null,null
Granada CF,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.189992482,1.570838186,2.229011445,6.497027566,80,Soccer (Men - Club - All),active,-0.016594886,-0.003484849,-0.328412877,0,1258,282553,33715,118,3320,7890,null,2623,195,47,null,null,null,6163,83,null,27,1902,14997,null,null,null,null
Dií_sgyori VTK,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.18959088,1.395336343,2.396481249,5.540569591,80,Soccer (Men - Club - All),active,-0.000641307,-0.011920323,-0.00090582,0,1001,57171,52297,341,3603,3201,null,574,10,4,null,null,null,2444,76,null,0,289,20640,2657,2199,830,1785774
FC Krylia Sovetov Samara,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.18489588,2.289685325,1.408232268,7.051861774,80,Soccer (Men - Club - All),active,-0.000599099,-0.017523291,0.005541319,0,18,1290,122,30,18,40,null,846,77,93,10435,108,2528,57156,143,null,19,43,32268,988,4099,1596,3118383
Malmí_ FF,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.18425589,1.757920919,1.927196878,6.497027566,80,Soccer (Men - Club - All),active,-0.002837985,-0.003716143,-0.053043565,0,1295,167445,81305,127,2597,8767,null,null,null,null,44224,null,795,33999,0,null,106,225,16621,null,null,null,null
AC Omonia,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.183379018,0.997709937,2.669870427,7.696172913,80,Soccer (Men - Club - All),active,0.001078598,-0.006697721,0.028269677,0,593,98734,18654,116,381,3294,null,23,2,3,null,null,null,null,null,null,null,null,null,1063,1005,170,490375
En Avant de Guingamp,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.179498958,1.880062433,1.709916727,6.497027566,80,Soccer (Men - Club - All),active,0.000106041,-0.005947306,0.008068132,0,1484,206257,40810,174,2553,7894,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Anorthosis Famagusta FC,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.178031567,1.393408557,2.167222782,6.568450072,80,Soccer (Men - Club - All),active,-0.000350315,-0.013079388,0.006073089,0,272,28650,9849,101,322,2027,null,183,6,7,4559,3823,402,2585,710,null,5,105,5193,3073,2711,556,1637343
íˆaykur Rizespor,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.177608732,1.872436809,1.679737825,5.72108531,80,Soccer (Men - Club - All),active,0.001406802,-0.006193453,0.034329483,0,1567,288494,57681,158,1650,5600,null,null,null,null,1927,14,473,32487,26,null,7,17,7396,150,307,21,67682
Sivasspor,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.177012723,1.824192424,1.716062033,7.832107485,80,Soccer (Men - Club - All),active,-0.006399655,-0.005763597,-0.122229501,0,1602,234857,60783,145,2289,3288,null,3,0,0,10570,20,1109,38994,1,null,11,27,3597,312,421,44,157615
HNK Rijeka,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.175474329,1.887473156,1.62201342,6.497027566,80,Soccer (Men - Club - All),active,0.002167461,-0.012675282,0.056024493,0,919,138849,34099,83,603,5456,null,153,2,1,7564,38,571,5613,40,null,19,52,7728,1907,2539,781,1563156
Videoton FC,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.174641223,1.097430756,2.39539371,6.489174231,80,Soccer (Men - Club - All),active,0.000679213,-0.008556129,0.022140392,0,1771,59148,33028,258,1270,2947,null,252,14,28,3633,19,2099,1683,1,null,2,114,5695,1378,1568,284,966312
NK Maribor,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.169858402,2.109178782,1.287989251,6.6903836,80,Soccer (Men - Club - All),active,-0.000290118,-0.01294692,0.007144558,0,685,144472,28537,44,552,1828,null,187,3,1,13124,34,380,null,null,null,null,null,null,1736,2331,961,2587061
Evian Thonon Gaillard F.C.,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.169816884,1.958940854,1.43739683,6.497027566,80,Soccer (Men - Club - All),active,-0.000455856,-0.006180604,-0.002936522,0,1241,158954,12635,146,423,2443,null,562,110,17,8622,70,856,130439,718,null,42,6,25504,0,7,0,0
SK Sturm Graz,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.168519099,1.886495932,1.483886055,8.293192333,80,Soccer (Men - Club - All),active,-0.000987189,-0.01667187,-0.00307191,0,1284,101077,15548,96,304,958,null,186,11,0,null,null,null,6703,105,null,11,41,7200,1844,4475,346,897515
FK Partizan,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.168062325,2.217243339,1.144003167,6.398405611,80,Soccer (Men - Club - All),active,-0.003218576,-0.00594028,-0.058431242,0,673,426014,63045,92,685,6628,null,null,null,null,null,null,null,13280,61,null,72,175,3907,null,null,null,null
Dundee F.C.,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.166888247,1.287300364,2.050464575,6.497027566,80,Soccer (Men - Club - All),active,-0.001138846,-0.010596471,-0.012180443,0,334,7461,7614,55,802,1808,null,9,2,0,4263,62,203,23675,98,null,1062,2671,18354,3807,1591,65,2013112
FC Dinamo Tbilisi,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.165658779,1.958840703,1.354334885,6.497846458,80,Soccer (Men - Club - All),active,-0.00055334,-0.01218092,0.001114128,0,417,157189,13005,88,1109,3179,null,1,0,0,null,null,null,911,8,null,50,1120,8239,1783,1831,1014,2702964
Motherwell F.C.,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.1653505,1.265434232,2.041575773,6.394791679,80,Soccer (Men - Club - All),active,-0.000525801,-0.011096086,0.000580065,0,382,25249,7511,50,570,562,null,2,2,0,4692,262,268,21723,870,null,712,6578,32594,1840,2342,828,935988
Dundee United F.C.,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.16386129,1.318130538,1.959095268,6.647111526,80,Soccer (Men - Club - All),active,-0.003096782,-0.010198056,-0.051737576,0,811,44493,13229,150,549,652,null,477,48,34,8110,23,773,32203,164,null,431,1622,16964,1315,2141,135,467700
Helsingin Jalkapalloklubi,Soccer (Men - Club - All),,,,,,,,,,,,,,,,null,null,0.156225556,1.833194488,1.291316636,6.505276556,80,Soccer (Men - Club - All),active,-0.000849099,-0.016316081,-0.000665892,0,219,43708,9847,41,227,2240,null,null,null,null,null,null,null,15916,184,null,30,81,12963,3074,3695,671,2200995
